0166.KL,1023.KL,1066.KL,1082.KL,1155.KL,1295.KL,1961.KL,2445.KL,3182.KL,3816.KL,4065.KL,4197.KL,4707.KL,4715.KL,4863.KL,5168.KL,5183.KL,5225.KL,5285.KL,5296.KL,5347.KL,5681.KL,5819.KL,6012.KL,6033.KL,6888.KL,6947.KL,7113.KL,7277.KL,8869.KL
3.540950298309326,4.4770917892456055,4.98480224609375,17.761350631713867,7.534875869750977,3.9035823345184326,3.625992774963379,19.095624923706055,4.775521755218506,6.516682147979736,17.89671516418457,2.149397134780884,130.3079376220703,2.840804100036621,5.55142068862915,5.31052303314209,8.199871063232422,6.586160182952881,3.488562822341919,2.509519338607788,9.193485260009766,18.412918090820312,18.576370239257812,4.3694047927856445,16.2717227935791,3.8238422870635986,4.247492790222168,2.684999942779541,2.2889857292175293,5.593953609466553
3.6183481216430664,4.4770917892456055,5.021121025085449,17.761350631713867,7.516155242919922,3.8939201831817627,3.616323471069336,19.191679000854492,4.794739246368408,6.593011856079102,17.89671516418457,2.1684184074401855,130.3079376220703,2.869307279586792,5.570865154266357,5.301671981811523,8.115433692932129,6.536640167236328,3.459810733795166,2.469895362854004,9.222214698791504,18.354711532592773,18.2651424407959,4.379029273986816,16.310327529907227,3.843552827835083,4.199225902557373,2.63527774810791,2.2791194915771484,5.673160552978516
3.5602996349334717,4.496143817901611,4.946457862854004,17.56616973876953,7.497435569763184,3.9229068756103516,3.6453311443328857,19.383787155151367,4.842782497406006,6.755213260650635,17.9945125579834,2.177928924560547,129.9151611328125,2.8883092403411865,5.570865154266357,5.328224182128906,8.152960777282715,6.536640167236328,3.507730722427368,2.476499557495117,9.212637901306152,18.529333114624023,18.226238250732422,4.379029273986816,16.19451332092285,3.8632633686065674,4.199225902557373,2.7247776985168457,2.407381772994995,5.722665309906006
3.531275510787964,4.591401100158691,4.9557905197143555,17.507617950439453,7.562955856323242,3.9229068756103516,3.945080041885376,21.03592300415039,4.900434494018555,6.726589679718018,18.287900924682617,2.2159712314605713,130.6025390625,2.897810220718384,5.63892126083374,5.319374084472656,8.284309387207031,6.556447982788086,4.025264739990234,2.4500832557678223,9.327556610107422,19.111408233642578,18.479110717773438,4.456023216247559,16.310327529907227,3.912539482116699,4.247492790222168,2.7247776985168457,2.6540396213531494,5.861275672912598
3.579648971557617,4.629504203796387,4.946457862854004,17.46858024597168,7.534875869750977,3.9422314167022705,3.916072368621826,21.420141220092773,4.910043716430664,6.707507610321045,18.190105438232422,2.1969501972198486,130.79893493652344,2.9263134002685547,5.580587387084961,5.301671981811523,8.143579483032227,6.566352367401123,4.01568078994751,2.410459280014038,9.31797981262207,19.05320167541504,18.2651424407959,4.475271224975586,16.310327529907227,3.9223947525024414,4.228186130523682,2.734722137451172,2.861232280731201,5.8414740562438965
3.579648971557617,4.667606830596924,4.974456310272217,17.46858024597168,7.534875869750977,3.9422314167022705,3.92574143409729,21.573827743530273,4.910043716430664,6.669342041015625,18.170543670654297,2.187439441680908,131.5845184326172,2.97381854057312,5.600032329559326,5.213162899017334,8.143579483032227,6.566352367401123,4.063600063323975,2.44347882270813,9.298827171325684,19.092004776000977,18.090076446533203,4.504143238067627,16.213817596435547,3.9322500228881836,4.170266151428223,2.7645554542541504,2.802034378051758,6.0295891761779785
3.569974422454834,4.762864112854004,5.04911994934082,17.46858024597168,7.637836456298828,3.9712188243865967,3.935410976409912,21.80436134338379,4.967695713043213,6.621635437011719,18.092308044433594,2.158907651901245,132.07550048828125,2.9928205013275146,5.522253513336182,5.0626983642578125,8.209253311157227,6.615871906280518,4.092352390289307,2.4170637130737305,9.298827171325684,18.820369720458984,18.090076446533203,4.456023216247559,16.310327529907227,3.942105293273926,4.131652355194092,2.794388771057129,2.8414998054504395,6.069192409515381
3.5893237590789795,4.867647171020508,5.179781436920166,17.761350631713867,7.703356742858887,4.019529819488525,3.916072368621826,21.80436134338379,5.044565200805664,6.583470821380615,18.05318832397461,2.1684184074401855,131.38812255859375,3.030824661254883,5.794477462768555,5.283970355987549,8.209253311157227,6.635679721832275,4.082768440246582,2.4170637130737305,9.270098686218262,18.975589752197266,18.05117416381836,4.504143238067627,16.484046936035156,4.040657997131348,4.199225902557373,2.8142776489257812,2.8217668533325195,6.04939079284668
3.540950298309326,4.953378677368164,5.338440895080566,18.03459930419922,7.759517669677734,4.04851770401001,3.954749584197998,21.881206512451172,5.063782691955566,6.78383731842041,18.092308044433594,2.254013776779175,131.5845184326172,3.040325403213501,5.745866298675537,5.372479438781738,8.209253311157227,6.675295829772949,4.26486349105835,2.4500832557678223,9.298827171325684,19.402442932128906,18.304046630859375,4.571513652801514,16.40683937072754,4.040657997131348,4.334373474121094,2.7744998931884766,2.9401628971099854,6.03948974609375
3.579648971557617,4.877172946929932,5.282443523406982,17.878456115722656,7.750157356262207,4.04851770401001,3.8773951530456543,21.80436134338379,4.986913204193115,6.822002410888672,17.9945125579834,2.1969501972198486,131.38812255859375,3.002321481704712,5.745866298675537,5.505242347717285,8.218636512756348,6.695104122161865,4.130688190460205,2.4302711486816406,9.289251327514648,19.014394760131836,18.206787109375,4.571513652801514,16.40683937072754,3.951960802078247,4.199225902557373,2.7744998931884766,2.959895372390747,6.138497829437256
